Номер,Название,НМЦ,Аванс,Валюта закупки,Дата публикации,Планируемая дата публикации,Окончание приема заявок,Проведение отбора,Этап отбора,Тип торгов,Ссылка на ЕИС,Способ отбора,ЭТП,"СМП, СОНО",Размещает  закупку,Контактное лицо,Метка ,Комментарий,Ответственный,Регион,Название.1,ИНН,КПП,Телефон,Место поставки,Место поставки из документов,source_date,in_registry
32616204867,"Программного обеспечение для проектирования, создания и подготовки 3D моделей в «Зону прототипирования в автомобилестроении»",3805064.33,,RUB,2026-07-14 16:18:42.000,,2026-07-22 11:00:00,,Подача заявок,223-ФЗ,ЕИС,Аукцион в электронной форме,ЭТП «Фабрикант»,"Для СМП, СОНО","5260372553-526001001
ГКУ Нижегородской обл. «Центр Размещения Заказа Нижегородской Области»",Колесова П. Н.. +428 (37) 98. buxrzatt@yandex.ru,,,,52 Нижегородская область,Государственное бюджетное Профессиональное Образовательное учреждение «Нижегородский Автотранспортный Техникум»,5262034831.0,526201001.0,"88314283789
88314283798
88314285068
88314286538
88314286964
88314333204
88314342231
89087528191
88314283199
88314284285","Приволжский федеральный округ, Нижегородская   обл, 603105, Нижегородская область, город Нижний Новгород, улица Невзоровых, 34",,15.07.2026,False
10497990,"Оказание услуг по предоставлению доступа к сервису ""Ассистент преподавателя""",20000.0,,RUB,2026-07-14 15:57:21.000,,2026-07-15 15:51:00,,Подача заявок,Малые закупки,,Малая закупка,РТС-тендер,,"5022028249-502201001
Муниципальное бюджетное общеобразовательное учреждение СОШ № 16",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Муниципальное бюджетное общеобразовательное учреждение СОШ № 16,5022028249.0,502201001.0,"84966168931
84966188814
84966165017
84966165018
84966183013
84966183248
84966183500",в соответствии с тз,,15.07.2026,False
10497824,Оказание услуг по предоставлению неисключительного права использования электронной Базы данных (простая неисключительная лицензия),46893.0,,RUB,2026-07-14 15:15:32.000,,2026-07-15 15:08:00,,Подача заявок,Малые закупки,,Малая закупка,РТС-тендер,,"5079006507-507901001
Муниципальное бюджетное общеобразовательное учреждение «Шаховская СОШ № 1»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Муниципальное бюджетное общеобразовательное учреждение «Шаховская СОШ № 1»,5079006507.0,507901001.0,"84963733572
43808
58947
84963733033
84963733083
84963733087
84963733202
84963733769
84963733875
84963733961","143700, Московская область, муниципальный округ Шаховская, пгт. Шаховская, 1-й Советский переулок, д. 11",,15.07.2026,False
3708650,"Оказание услуг по предоставлению доступа к базе данных резюме с возможностью просмотра контактной информации соискателя с использованием API и публикациями вакансий для нужд ГБУЗ Московской области ""Орехово-Зуевская больница"" на 2026 год",197241.0,,RUB,2026-07-14 14:20:44.000,,2026-07-15 14:21:00,,Подача заявок,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5034061466-503401001
ГБУЗ Московской обл. «Орехово-Зуевская Больница»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,ГБУЗ Московской обл. «Орехово-Зуевская Больница»,5034061466.0,503401001.0,"84964257404
84957458912",,,15.07.2026,False
1217799,"Запрос оферт на ""Внедрение автоматизированной системы контроля и учета энергоресурсов""",,,,2026-07-14 00:00:00.000,,2026-07-31 18:00:00,,Подача заявок,Коммерческие,,Запрос цен,Тендер.Про,,"6230054971-623001001
ООО «Завод Лоджикруф»",см. документацию. см. документацию. см. документацию,,,,62 Рязанская область,ООО «Завод Лоджикруф»,6230054971.0,623001001.0,"84912911365
84912911350
84912911386
84912911389
84912911356","390047,Россия,Рязанская область, Рязань, район Восточный промузел, 21",,15.07.2026,False
0001-208-К-Y05-03431-2026,Создание автоматизированной системы управления нормативно-справочной информацией 2.0 (АСУ НСИ 2.0),394085183.37,,RUB,2026-07-14 00:00:00.000,,2026-07-28 00:00:00,,Подача заявок,Коммерческие,,Тендер,ПАО «Транснефть»,,"7706061801-770301001
ПАО «Транснефть»",+7 (495) 950-81-78. transneft@transneft.ru,,,,77 Москва,ПАО «Транснефть»,7706061801.0,770301001.0,"84959508170
84959508444
84959508451
84959508483
84959508909
84959508910
84959508926
84959508928
84959508968
84959508074",,,15.07.2026,False
10496780,Закупка в 2026 году оказание услуг по передаче права использования программного обеспечения контроля выполнения работ по содержанию территорий (Одинцовский городской округ) на условиях простой (неисключительной) лицензии на ноябрь и декабрь,146200.0,,RUB,2026-07-14 11:36:24.000,,2026-07-21 11:36:00,,Подача заявок,Малые закупки,,Малая закупка,РТС-тендер,,"5032287027-503201001
МБУ «Городское Хозяйство «Голицыно»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,МБУ «Городское Хозяйство «Голицыно»,5032287027.0,503201001.0,89269611116,согласно ООЗ,,15.07.2026,False
B1407261647569,"26-298 Приобретение лицензий на специализированное ПО LLM-Платформа и оказание услуг по внедрению системы и лицензионно-технической поддержки (в рамках реализации проекта IT.P.26-07 ""Речевая аналитика производственного контроля"").",,,,2026-07-14 16:47:56.000,,2026-07-23 23:59:00,,Подача заявок,Коммерческие,,Тендер,Росэлторг (ЕЭТП),,"8401005730-840101001
ПАО «Горно-Металлургическая Компания «Норильский Никель»",см. документацию. см. документацию. см. документацию,,,,24 Красноярский край,ПАО «Горно-Металлургическая Компания «Норильский Никель»,8401005730.0,840101001.0,"83919255101
83919134803
83919253314
83919255801
83919257746
84957877667
83919134456
83919134509
83919244565
83919250672",Услуга оказывается удаленно.,,15.07.2026,False
10496613,Приобретение лицензионных программных продуктов для модернизации системы видеонаблюдения (для корпуса начального образования),462000.0,,RUB,2026-07-14 11:14:24.000,,2026-07-15 23:59:00,,Подача заявок,Малые закупки,,Малая закупка,РТС-тендер,,"2301037632-230101001
Муниципальное бюджетное Общеобразовательное учреждение СОШ № 12 Муниципального Образования г.-Курорт Анапа им. Кавалера Ордена Мужества Александра Каширина",см. документацию. см. документацию. см. документацию,,,,23 Краснодарский край,Муниципальное бюджетное Общеобразовательное учреждение СОШ № 12 Муниципального Образования г.-Курорт Анапа им. Кавалера Ордена Мужества Александра Каширина,2301037632.0,230101001.0,"88613371798
88613371770","Россия, Краснодарский край, м.о. город-курорт Анапа, ст-ца Анапская, ул. Кавказская, 90а;",,15.07.2026,False
B1407261736274,Оказание услуг по созданию настольной игры,,,,2026-07-14 17:36:27.000,,2026-07-22 10:00:00,,Подача заявок,Коммерческие,,Тендер,Росэлторг (ЕЭТП),,"9709089125-770901001
АНО «Центр Экономического Мониторинга, Анализа и Консалтинга»",см. документацию. см. документацию. см. документацию,,,,77 Москва,АНО «Дирекция Выставки Достижений «Россия»,9703137862.0,770601001.0,"84951099771
89154596503
83556525656
84951099770
84951099772
84951099773
84951099779
84951531406
84955443400
88003331773",Услуга оказывается удаленно.,,15.07.2026,False
6140812,Оказание услуг по внедрению Программного комплекса для учета диетического питания,321100.0,,RUB,2026-07-14 11:40:38.000,,2026-07-15 11:40:00,,Подача заявок,Малые закупки,,Малая закупка,Портал поставщиков,,"7821007626-784301001
СПБ ГБУЗ «Санаторий Для Детей «Детские Дюны»",Никитин Андрей Владимирович. 8-812-2463142,,,,78 Санкт-Петербург,СПБ ГБУЗ «Санаторий Для Детей «Детские Дюны»,7821007626.0,784301001.0,"88122463137
88122463140
88122462275
88122462297
89213160611
88122463142
88124373930
88122462283
88122462284
88122462286",В соответствии с Контрактом; г г Санкт-Петербург,,15.07.2026,False
2026006121958,Оказание услуг по внедрению Программного комплекса для учета диетического питания,321100.0,,RUB,2026-07-14 14:48:00.000,,2026-07-15 14:48:00,,Подача заявок,Малые закупки,,Малая закупка,Комитет по государственному заказу Санкт‑Петербурга,,"7821007626-784301001
СПБ ГБУЗ «Санаторий Для Детей «Детские Дюны»",Никитин Андрей Владимирович. 8-812-2463142. kvinto1966@mail.ru,,,,78 Санкт-Петербург,СПБ ГБУЗ «Санаторий Для Детей «Детские Дюны»,7821007626.0,784301001.0,"88122463137
88122463140
88122462275
88122462297
89213160611
88122463142
88124373930
88122462283
88122462284
88122462286",В соответствии с Контрактом,,15.07.2026,False
2026006123590,Оказание услуг по выгрузке данных Заказчика о выданных документах об образовании и (или) о квалификации на портал ФИС ФРДО и информационно-консультационной поддержке Заказчика по работе в ФИС ФРДО,18000.0,,RUB,2026-07-14 16:12:00.000,,2026-07-15 16:10:00,,Подача заявок,Малые закупки,,Малая закупка,Комитет по государственному заказу Санкт‑Петербурга,,"7801717089-780101001
СПБ ГБУ «Центр Экологического Мониторинга, Экспертизы, Экологического Просвещения и Контроля За Радиационной Обстановкой «Минерал»",Киселев Анатолий Афанасьевич. 7-812-3227922. gbumineral@yandex.ru,,,,78 Санкт-Петербург,"СПБ ГБУ «Центр Экологического Мониторинга, Экспертизы, Экологического Просвещения и Контроля За Радиационной Обстановкой «Минерал»",7801717089.0,780101001.0,"88123227922
88123227955",г. Санкт-Петербург,,15.07.2026,False
RH14072600091,"ОКПД2-62.02.30.000 Сопровождение и техническая поддержка портала ""Личный кабинет потребителя""",,,,2026-07-14 20:52:00.000,,2026-07-18 21:00:00,,Подача заявок,Коммерческие,,Тендер,Росэлторг (ЕЭТП),,"1435191592-143501001
АО «Теплоэнергосервис»",Артемьев Иван Иванович. 7-4112-498448. artemevii@rushydro.ru,,,,14 Республика Саха (Якутия),АО «Теплоэнергосервис»,1435191592.0,143501001.0,"84112211350
84112498409
84112498427
84112498428
84112498442
84115420138
84115422207
84112498400
84112498410
84112211355","677001, РЕСП САХА /ЯКУТИЯ/, Г ЯКУТСК, ПЕР ЭНЕРГЕТИКОВ, ДОМ 1""А""",,15.07.2026,False
6141597,Оказание услуг по выгрузке данных Заказчика о выданных документах об образовании и (или) о квалификации на портал ФИС ФРДО и информационно-консультационной поддержке Заказчика по работе в ФИС ФРДО,18000.0,,RUB,2026-07-14 16:12:44.000,,2026-07-15 16:10:00,,Подача заявок,Малые закупки,,Малая закупка,Портал поставщиков,,"7801717089-780101001
СПБ ГБУ «Центр Экологического Мониторинга, Экспертизы, Экологического Просвещения и Контроля За Радиационной Обстановкой «Минерал»",Киселев Анатолий Афанасьевич. 7-812-3227922,,,,78 Санкт-Петербург,"СПБ ГБУ «Центр Экологического Мониторинга, Экспертизы, Экологического Просвещения и Контроля За Радиационной Обстановкой «Минерал»",7801717089.0,780101001.0,"88123227922
88123227955",г. Санкт-Петербург; г г Санкт-Петербург,,15.07.2026,False
6141189,Оказание услуг на право использования программы для удаленного управления компьютером через Интернет и в корпоративной сети,232500.0,,RUB,2026-07-14 14:40:00.000,,2026-07-15 14:40:00,,Подача заявок,Малые закупки,,Малая закупка,Портал поставщиков,,"8904012815-890401001
Государственное бюджетное Профессиональное Образовательное учреждение Ямало-Ненецкого Автономного Округа «Новоуренгойский Многопрофильный Колледж»",Прокофьева Елена Сергеевна. 8-3494-245444,,,,89 Ямало-Ненецкий АО,Государственное бюджетное Профессиональное Образовательное учреждение Ямало-Ненецкого Автономного Округа «Новоуренгойский Многопрофильный Колледж»,8904012815.0,890401001.0,"83494229024
83494229023
83494245555
83494953105
79822
83494245222
83494229004
83494229046
83494257608
83494941013","Российская Федерация, Ямало-Ненецкий автономный округ, г.о. город Новый Уренгой, г. Новый Уренгой, мкр. Студенческий, д. 1; Ямало-Ненецкий автономный округ",,15.07.2026,False
927430,"Предоставление прав использования программы для ЭВМ ""Диадок"", сервис ""Логистика"" (12 мес.), программы для ЭВМ ""Контур.Диадок"", модуль ""Коннектор.Прогресс"" (12 мес.), услуги по адаптации и сопровождению сервиса",,,,2026-07-14 14:33:35.000,,2026-07-16 13:00:00,,Подача заявок,Коммерческие,,Запрос цен,ТЭК-Торг,,"7727004530-890401001
АО «Роспан Интернешнл»",Сидоров Алексей Алексеевич. 7-349-4243196. AA_Sidorov8@rspn.rosneft.ru,,,,89 Ямало-Ненецкий АО,АО «Роспан Интернешнл»,7727004530.0,890401001.0,"83494243505
83494243907
83494243954
83494243396
83494243510
83494243511
83494243559
83494243730
83494947132","Тюменская область, Ямало-Ненецкий а.окр., г Новый Уренгой, ул Таежная, д 78А",,15.07.2026,False
100117184126100063,"Предоставление возможности публикации предложений о трудоустройстве (вакансий) с использованием ПО HeadHunter Стандарт, региональный критерий Все регионы, критерий специализации Продажи, финансы, администрирование и HR",23960.0,,RUB,2026-07-14 12:05:07.000,,2026-07-15 12:05:00,,Подача заявок,Малые закупки,,Малая закупка,ЕАТ (Березка),,"7302014570-730201001
Федеральное казенное учреждение «Исправительная колония № 10 Управления Федеральной службы исполнения наказаний по Ульяновской области»",+7(842)359-36-74. fku-ik10market73@yandex.ru,,,,73 Ульяновская область,Федеральное казенное учреждение «Исправительная колония № 10 Управления Федеральной службы исполнения наказаний по Ульяновской области»,7302014570.0,730201001.0,"88423593663
88423593669
88423593674
88423593665
784235936700
791760733723680
88422428327
88423529360
88423564006
88423593606",,,15.07.2026,False
32616203264,право заключения договора на оказание услуг по сопровождению и технической поддержке системы «Информационная база знаний ПАО «Россети Урал»,4898301.44,,RUB,2026-07-14 12:24:53.000,,2026-07-24 09:00:00,2026-08-11 21:59:00,Подача заявок,223-ФЗ,ЕИС,Закупка иного способа размещения,Росэлторг (ЕЭТП),,"6671163413-668501001
ПАО «Россети Урал»",Ложкарев А. Д.. +7 (343) 2932554. Lozhkarev-AD@rosseti-ural.ru,Интересно,,,66 Свердловская область,ПАО «Россети Урал»,6671163413.0,668501001.0,"83422156460
83422434224
83422435059
83422435219
83422932460
83424172359
83427837529
83432932670
83434628911
83435963244",Свердловская   обл,"Свердловская область
Уральский Федеральный Округ
Свердловская область, г Екатеринбург",15.07.2026,True
32616203767,"оказание услуг по настройке сегмента Государственной информационной системы ""Единая база данных по осуществлению мероприятий, связанных с обеспечением безопасности донорской крови и ее компонентов, развитием, организацией и пропагандой донорства крови и ее компонентов» в Тюменской области",4298000.0,,RUB,2026-07-14 14:01:09.000,,2026-07-24 07:00:00,,Подача заявок,223-ФЗ,ЕИС,Запрос котировок в электронной форме,РТС-тендер,"Для СМП, СОНО","7710357167-773001001
ООО «Ртс-тендер»",Зыкова Е. А.. +73452682011 () 121. ospk72@mail.ru,,,,72 Тюменская область,ГБУЗ Тюменской обл. «Областная Станция Переливания Крови»,7203002479.0,720301001.0,"83452682011
83452682013
83452682025
83455166013
682025
83452682012
83452682019
83452682044
83452287753
83452682022","Уральский федеральный округ, Тюменская   обл, Тюменская   обл, ОКАТО: 71000000000",,15.07.2026,False
B1407260950212,Поставка лицензий и внедрение системы управления печатью Print-X,,,,2026-07-14 09:50:21.000,,2026-07-20 17:00:00,,Подача заявок,Коммерческие,,Тендер,Росэлторг (ЕЭТП),,"5051000880-775101001
АО «Щербинский Лифтостроительный Завод»",см. документацию. см. документацию. см. документацию,,,,77 Москва,АО «Щербинский Лифтостроительный Завод»,5051000880.0,775101001.0,"84733003393
84752533620
84922474795
84952333685
84955238532
84957396723
84956658839
84957396703
88003503050
89139150504","Россия, г Москва, г Щербинка",,15.07.2026,False
32616202703,ОКПД2 62.01.29 Поставка программное обеспечение для инженерного проектирования (Лот № 0037-ТПИР ИТ-2026-ГП),1777300.0,,RUB,2026-07-14 11:05:44.000,,2026-07-22 15:00:00,,Подача заявок,223-ФЗ,ЕИС,Запрос котировок в электронной форме,РАД (Lot-Online),"Для СМП, СОНО","7743714777-774301001
АО «Проектно-Изыскательский и НИИ «Гидропроект» Имени С.Я. Жука»",Завершинская А. И.. 7 495 727 36 05 0148. a.zavershinskaya@hydroproject.ru,,,,77 Москва,АО «Проектно-Изыскательский и НИИ «Гидропроект» Имени С.Я. Жука»,7743714777.0,774301001.0,"84957273605
89169193192",Оригиналы программного обеспечения прочие: Город Москва столица Российской Федерации город федерального значения,,15.07.2026,False
10497189,"Право использования программного обеспечения для ЭВМ ""ТехноКад-Муниципалитет модуль Базовый""",22400.0,,RUB,2026-07-14 12:50:07.000,,2026-07-15 12:49:00,,Подача заявок,Малые закупки,,Малая закупка,РТС-тендер,,"5026004859-502701001
Администрация Городского Округа Лыткарино",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Администрация Городского Округа Лыткарино,5026004859.0,502701001.0,"84955523296
84955528618
0941752
58947
83841
84953631677
84955228866
84955522246
84955521825
84955527822","Московская область, г.Лыткарино, ул.Ленина, д.21",,15.07.2026,False
6140795,Закупка в 2026 году оказание услуг по передаче права использования программного обеспечения контроля выполнения работ по содержанию территорий (Одинцовский городской округ) на условиях простой (неисключительной) лицензии на ноябрь и декабрь,146200.0,,RUB,2026-07-14 11:35:47.000,,2026-07-21 11:36:00,,Подача заявок,Коммерческие,,Тендер,Портал поставщиков,,"5032287027-503201001
МБУ «Городское Хозяйство «Голицыно»","МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ УЧРЕЖДЕНИЕ ""ГОРОДСКОЕ ХОЗЯЙСТВО ""ГОЛИЦЫНО""",,,,50 Московская область,МБУ «Городское Хозяйство «Голицыно»,5032287027.0,503201001.0,89269611116,согласно ООЗ; Московская область,,15.07.2026,False
3708559,"Право использования программного обеспечения для ЭВМ ""ТехноКад-Муниципалитет модуль Базовый""",22400.0,,RUB,2026-07-14 12:48:55.000,,2026-07-15 12:49:00,,Подача заявок,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5026004859-502701001
Администрация Городского Округа Лыткарино",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Администрация Городского Округа Лыткарино,5026004859.0,502701001.0,"84955523296
84955528618
0941752
58947
83841
84953631677
84955228866
84955522246
84955521825
84955527822",,,15.07.2026,False
3708417,"Лицензия на право использования программного обеспечения для ЭВМ ""ТехноКад-Муниципалитет модуль Оптима""",29200.0,,RUB,2026-07-14 11:21:10.000,,2026-07-15 11:21:00,,Подача заявок,Малые закупки,,Малая закупка,Электронный магазин Московской области,,"5031029760-503101001
Администрация муниципального образования «Городской округ Черноголовка»",см. документацию. см. документацию. см. документацию,,,,50 Московская область,Администрация муниципального образования «Городской округ Черноголовка»,5031029760.0,503101001.0,"84957857045
84965223188
21043
21112
21190
22489
23391
25301
25311
84965223802",,,15.07.2026,False
352-643,Лицензии 1С,,,,2026-07-14 00:27:34.000,,2026-07-21 13:00:00,,Подача заявок,Коммерческие,,Тендер,Bidzaar,,"7705935687-773101001
ООО «Купишуз»",см. документацию. см. документацию. см. документацию,,,,77 Москва,ООО «Купишуз»,7705935687.0,773101001.0,88007006446,"город Москва, г Москва, Россия, ул. Крылатская, д.15",,15.07.2026,True
32616205472,"оказание услуг по передаче прав на специальное программное обеспечение и оказание услуг по его внедрению в целях модернизации и развития государственной информационной системы в сфере здравоохранения Республики Мордовия и ИС РПМУ в части подсистемы ""Взаимодействие с государственным мессенджером"" на базе цифровой платформы ""MAX""",6688492.39,,RUB,2026-07-14 20:47:34.000,,2026-07-30 10:00:00,2026-08-04 15:00:00,Подача заявок,223-ФЗ,ЕИС,Закупка иного способа размещения,Р-ТЕНДЕР,,"1326024954-132801001
Государственное автономное учреждение здравоохранения Республики Мордовия «Медицинский информационно-аналитический центр»",Попов А. В.. 78342248167. torgirptd@e-mordovia.ru,,,,13 Республика Мордовия,Государственное автономное учреждение Здравоохранения Республики Мордовия «Медицинский Информационно-Аналитический Центр»,1326024954.0,132801001.0,"88342329153
88342329212
88342329213
88342477514
389000
88342329144
88342329147
88342329202
88342329205
88342248167",Республика Мордовия,"Республика Мордовия
Приволжский Федеральный Округ
Республика Мордовия, г Саранск",15.07.2026,True
RT14072600012,"Отбор предложений в электронной форме на право заключения договора на выполнение работ по развитию единой цифровой платформы в сфере занятости и трудовых отношений ""Работа в России"" в целях обеспечения мероприятий в области содействия занятости населения первой очереди в части модернизации функциональности мобильного приложения ЕЦП ""Работа в России""",3732000.0,,RUB,2026-07-14 12:32:00.000,,2026-07-22 10:00:00,,Подача заявок,Коммерческие,,Тендер,Росэлторг (ЕЭТП),,"7706673610-312301001
ООО «Бюджетные и Финансовые Технологии»",Юдин Денис Сергеевич. 7-495-7847000. de.yudin@bft.ru,Интересно,,,31 Белгородская область,ООО «Бюджетные и Финансовые Технологии»,7706673610.0,312301001.0,"84722219601
83437847000
83517847000
83822554008
83957323234
84722371251
84947847000
84954877000
84957807000
89671433849",,,15.07.2026,True
32616205140,Оказание услуг по доработке (разработке) Интернет-ресурсов Правительства Тульской области,3510202.5,,RUB,2026-07-14 17:04:02.000,,2026-07-22 09:00:00,,Подача заявок,223-ФЗ,ЕИС,Конкурс в электронной форме,Госзаказ Тула,"Для СМП, СОНО","7107541446-710701001
ГКУ Тульской обл. «Центр Организации Закупок»",Огиенко Т. А.. 84872245104106780. tatyana.ogienko@tularegion.ru,Интересно,,,71 Тульская область,Государственное автономное учреждение Тульской обл. «Центр Информационных Технологий»,7107535139.0,710701001.0,"84872245217
84872245220
84872716207
84872253425
84872717452
6434872253425
84872216263
84872242517
84872245185
84872306063","Центральный федеральный округ, Тульская   обл, Административное здание, расположенное по адресу: г. Тула, пр. Ленина, д. 2. Допустимо выполнение работ удаленно при условии выполнения требований к информационной безопасности и выполнению основных работ строго в рабочее временя часовой зоны Заказчика - UTC+3 (GMT+3, MSK).",,15.07.2026,True
32616203708,Выполнение работ по созданию автоматизированной системы управления производственной программой для автоматизации производственных бизнес-процессов диспетчерского учета выполнения диагностических работ в АО «Газпром диагностика» в части инструмента комплектации полевых бригад и автоматизации формирования документов (0223/26/2.1/00079095/ГДиагностика/К/ГОС/Э/14.07.2026),4421253.06,,RUB,2026-07-14 13:54:19.000,,2026-07-22 10:00:00,2026-07-24 14:00:00,Подача заявок,223-ФЗ,ЕИС,Закупка иного способа размещения,ЭТП ГПБ,,"4345083100-780201001
АО «Газпром Диагностика»",Калинин А. И.. 78126411900 55270. ai.kalinin@diagnostika.gazprom.ru,Интересно,,,78 Санкт-Петербург,АО «Газпром Диагностика»,4345083100.0,780201001.0,"88126411900
88126411937",Согласно закупочной документации,"Северо-Западный Федеральный Округ
Город Санкт-Петербург",15.07.2026,True
4524425,Право заключения договора на выполнение работ по разработке программы для ЭВМ «Мониторинг корректности архивных данных ПТК СМПР»,12200000.0,,RUB,2026-07-14 13:49:55.000,,2026-07-30 09:00:00,,Подача заявок,223-ФЗ,,Конкурс,B2B,,"7705454461-770501001
АО «Со Еэс»",,Интересно,,,77 Москва,АО «Со Еэс»,7705454461.0,770501001.0,"83422387874
83432592126
83433592126
83433592129
83433592172
83433592175
83433592207
83433592325
83433592337
84992188888","г. Москва, Китайгородский проезд, д. 7 стр. 3",,15.07.2026,True
32616204473,Право заключения договора на выполнение работ по разработке программы для ЭВМ «Мониторинг корректности архивных данных ПТК СМПР» (4524425),10000000.0,,RUB,2026-07-14 15:30:06.000,,2026-07-30 09:00:00,2026-08-06 09:00:00,Подача заявок,223-ФЗ,ЕИС,Закупка иного способа размещения,B2B,,"7705454461-770501001
АО «Системный Оператор Единой Энергетической Системы»",Ноздрина Т. К.. +7 (495) 6279413. ntk@so-ups.ru,Интересно,,,77 Москва,АО «Системный Оператор Единой Энергетической Системы»,7705454461.0,770501001.0,"83422387874
83432592126
83433592126
83433592129
83433592172
83433592175
83433592207
83433592325
83433592337
84992188888","г. Москва, Китайгородский проезд, д. 7 стр. 3",,15.07.2026,True
280572-26LO,Выполнение программно-технического и информационного сопровождения сайта учреждения и предоставление доступа к БД СПОРТИВНО-ИНФОРМАЦИОННОЙ СИСТЕМЫ sportsng.ru,16950.0,,RUB,2026-07-14 12:41:00.000,,2026-07-17 12:45:00,,Подача заявок,Малые закупки,,Малая закупка,Электронный Магазин Ленинградской области,"Для СМП, СОНО","4705036973-470501001
МБУ «Городская школа спортивного бального танца «Олимпия»",см. документацию. см. документацию. см. документацию,,,,47 Ленинградская область,МБУ «Городская школа спортивного бального танца «Олимпия»,4705036973.0,470501001.0,"88137190989
88137195026
88137199608","188300, ЛЕНИНГРАДСКАЯ ОБЛАСТЬ, М.О. ГАТЧИНСКИЙ, Г ГАТЧИНА, ПР-КТ 25 ОКТЯБРЯ, Д. 21",,15.07.2026,False
4524561,"Право заключения договора поставки оборудования и экземпляров программ для ЭВМ, на выполнение работ по созданию пилотной зоны системы регистрации диспетчерских переговоров нового поколения для нужд АО «СО ЕЭС»",71994226.05,,RUB,2026-07-14 14:51:52.000,,2026-07-30 09:00:00,,Подача заявок,223-ФЗ,,Конкурс,B2B,,"7705454461-770501001
АО «Со Еэс»",,,,,77 Москва,АО «Со Еэс»,7705454461.0,770501001.0,"83422387874
83432592126
83433592126
83433592129
83433592172
83433592175
83433592207
83433592325
83433592337
84992188888","Россия, территория РФ",,15.07.2026,False
32616205144,Оказание услуг по комплексному сопровождению официального интернет-сайта www.mmdm.ru Государственного бюджетного учреждения культуры города Москвы «Московский международный Дом музыки»,2229132.0,,RUB,2026-07-14 17:04:51.000,,2026-07-21 10:00:00,,Подача заявок,223-ФЗ,ЕИС,Запрос котировок в электронной форме,Росэлторг (ЕЭТП),"Для СМП, СОНО","7705464692-770501001
ГБУ культуры г. Москвы «Московский международный Дом музыки»",Карцев О. А.. +7 (495) 7300978. mmdm@culture.mos.ru,Интересно,,,77 Москва,ГБУ Культуры г. Москвы «Московский Международный Дом Музыки»,7705464692.0,770501001.0,"84957301011
84957301859
84957301865
84957303442
84957304359
84957307393
88432338088
89091643442
84957300978
84957302227",,,15.07.2026,True
4523052,Оказание услуги комплексной поддержки и развития мобильного приложения «Мой Уралхим»,,,,2026-07-14 12:56:37.000,,2026-07-28 17:00:59,,Подача заявок,Коммерческие,,Процедура закупки,B2B,,"9703115178-770301001
ООО «Уралайтех»",,Интересно,,,77 Москва,ООО «Уралайтех»,9703115178.0,770301001.0,"84952
84952870204
89703115178","г. Москва, Пресненская наб, д. 6 стр. 2",,15.07.2026,True
32616203352,"Выполнение работ по развитию и сопровождению МИС КДЦ РУДН ""1С:Медицина. Поликлиника ред.3"" и ""1С:Больничная аптека"" на платформе ""1С:Предприятие 8.3"". № 445-26",8000000.0,,RUB,2026-07-14 12:40:18.000,,2026-07-23 09:00:00,,Подача заявок,223-ФЗ,,Запрос предложений,РТС-тендер,"Для СМП, СОНО","7728073720-772801001
Федеральное государственное автономное Образовательное учреждение Высшего Образования «Российский Университет Дружбы Народов Имени Патриса Лумумбы»",Побережный Сергей Яковлевич. +7(495)7873803 доб. 1355. poberezhnyy-sya@rudn.ru,,,,77 Москва,Федеральное государственное автономное Образовательное учреждение Высшего Образования «Российский Университет Дружбы Народов Имени Патриса Лумумбы»,7728073720.0,772801001.0,"84954347363
84991359109
84999368787
88622402940
89163050441
84954330600
84954343111
84954345188
84954346635
84954347007","Москва, ОКАТО: 45000000000",,15.07.2026,False
332835,"Оказание услуг по сопровождению и модернизации комплексной системы автоматизации финансово-хозяйственной деятельности Заказчика на базе ПП ""Парус 8"" под управлением СУБД ""Oracle""",12900.0,,RUB,2026-07-14 10:25:00.000,,2026-07-17 12:00:00,,Подача заявок,Коммерческие,,Тендер,РЖД-Медицина,,"7723518340-772301001
Частное учреждение Здравоохранения «Клиническая Больница «Ржд-Медицина» Имени Н.А.Семашко»",см.документацию. см.документацию. см.документацию,,,,77 Москва,Частное учреждение Здравоохранения «Клиническая Больница «Ржд-Медицина» Имени Н.А.Семашко»,7723518340.0,772301001.0,"84997864241
84992669868
89858004763
89859238925
89951126399
84992669809",Москва,,15.07.2026,True
SBR028-2607140017,"Оказание услуг по доработке автоматизированных систем 1C:Аванкор ПИФ 3, 1C:УХ УНА, входящей в комплекс систем продукта «Единая система учета ЗПИФ».",6275880.0,,RUB,2026-07-14 11:24:00.000,,2026-07-22 11:00:00,2026-07-23 15:00:00,Подача заявок,Коммерческие,,"Запрос предложений (закупка, без ЭП)",Сбербанк-АСТ,,"7730257675-773001001
ООО «Современные Фонды Недвижимости»",,,,,77 Москва,ООО «Современные Фонды Недвижимости»,7730257675.0,773001001.0,"88002222004
84952522224
84955005550",Г. Москва,,15.07.2026,False
